"distribution_center_id","name","latitude","longitude","product_id","cost","category","product_name","retail_price","sku","distribution_center_id","order_item_id","order_id","user_id","product_id","created_at","shipped_at","delivered_at","returned_at","sale_price","order_item_id","order_id","user_id","product_id","created_at","shipped_at","delivered_at","returned_at","sale_price","order_id","user_id","status","gender","created_at","shipped_at","delivered_at","returned_at"
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI109720","O75694","U60581","P004","2023-05-18","2023-05-20","","","9.5","","","","","","","","","","O75694","U60581","Shipped","F","2023-05-18","2023-05-20","",""
"DC005","New Orleans LA","29.95","-90.0667","P007","20.93499997","Accessories","Nike Sportswear","40","8F14E","DC005","OI114576","O79017","U63161","P007","2022-06-19","2022-06-22","","","9.5","","","","","","","","","","O79017","U63161","Shipped","F","2022-06-19","2022-06-22","",""
"DC005","New Orleans LA","29.95","-90.0667","P007","20.93499997","Accessories","Nike Sportswear","40","8F14E","DC005","OI125961","O86888","U69553","P007","2022-09-09","2022-09-12","","","9.5","","","","","","","","","","O86888","U69553","Shipped","F","2022-09-09","2022-09-12","",""
"DC005","New Orleans LA","29.95","-90.0667","P007","20.93499997","Accessories","Nike Sportswear","40","8F14E","DC005","OI134214","O92604","U74149","P007","2023-03-17","2023-03-19","","","9.5","","","","","","","","","","O92604","U74149","Shipped","F","2023-03-17","2023-03-19","",""
"","","","","P011","41.00499986","Apparel","Nike Dri-FIT Shorts","55","ECCBC","DC008","OI161728","O111461","U89185","P011","2020-11-16","2020-11-16","","","9.5","","","","","","","","","","O111461","U89185","Shipped","F","2020-11-16","2020-11-16","",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI34095","O23436","U18672","P004","2022-07-15","2022-07-17","2022-07-21","","9.5","","","","","","","","","","O23436","U18672","Complete","F","2022-07-15","2022-07-17","2022-07-21",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI52779","O36248","U28857","P004","2022-04-15","2022-04-17","2022-04-22","","9.5","","","","","","","","","","O36248","U28857","Complete","F","2022-04-15","2022-04-17","2022-04-22",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI122412","O84446","U67477","P004","2022-11-15","2022-11-18","2022-11-19","","9.5","","","","","","","","","","O84446","U67477","Complete","F","2022-11-15","2022-11-18","2022-11-19",""
"DC005","New Orleans LA","29.95","-90.0667","P007","20.93499997","Accessories","Nike Sportswear","40","8F14E","DC005","OI171563","O118158","U94505","P007","2020-03-07","2020-03-07","2020-03-10","","9.5","","","","","","","","","","O118158","U94505","Complete","F","2020-03-07","2020-03-07","2020-03-10",""
"","","","","P011","41.00499986","Apparel","Nike Dri-FIT Shorts","55","ECCBC","DC008","OI129898","O89638","U71738","P011","2022-12-19","2022-12-21","2022-12-22","2022-12-23","9.5","","","","","","","","","","O89638","U71738","Returned","F","2022-12-19","2022-12-21","2022-12-22","2022-12-22"
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI37753","O25966","U20640","P004","2022-02-26","","","","9.5","","","","","","","","","","O25966","U20640","Cancelled","F","2022-02-26","","",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI173158","O119257","U95391","P004","2020-06-05","","","","9.5","","","","","","","","","","O119257","U95391","Cancelled","F","2020-06-05","","",""
"","","","","P011","41.00499986","Apparel","Nike Dri-FIT Shorts","55","ECCBC","DC008","OI33751","O23204","U18502","P011","2021-07-25","","","","9.5","","","","","","","","","","O23204","U18502","Processing","F","2021-07-25","","",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI74338","O51182","U40886","P004","2023-04-07","","","","9.5","","","","","","","","","","O51182","U40886","Processing","F","2023-04-07","","",""
"DC005","New Orleans LA","29.95","-90.0667","P008","48.86699984","Accessories","Nike Benassi","40","6512B","DC005","OI151888","O104650","U83752","P008","2023-03-19","2023-03-23","","","10","","","","","","","","","","O104650","U83752","Shipped","F","2023-03-19","2023-03-23","",""
"DC005","New Orleans LA","29.95","-90.0667","P008","48.86699984","Accessories","Nike Benassi","40","6512B","DC005","OI26084","O17932","U14294","P008","2022-01-21","2022-01-24","2022-01-27","","10","","","","","","","","","","O17932","U14294","Complete","F","2022-01-21","2022-01-24","2022-01-27",""
"DC005","New Orleans LA","29.95","-90.0667","P008","48.86699984","Accessories","Nike Benassi","40","6512B","DC005","OI40506","O27859","U22140","P008","2023-04-04","2023-04-06","2023-04-08","","10","","","","","","","","","","O27859","U22140","Complete","F","2023-04-04","2023-04-06","2023-04-08",""
"DC005","New Orleans LA","29.95","-90.0667","P008","48.86699984","Accessories","Nike Benassi","40","6512B","DC005","OI50672","O34827","U27729","P008","2022-09-30","2022-10-02","2022-10-02","","10","","","","","","","","","","O34827","U27729","Complete","F","2022-09-30","2022-10-02","2022-10-02",""
"DC005","New Orleans LA","29.95","-90.0667","P008","48.86699984","Accessories","Nike Benassi","40","6512B","DC005","OI78144","O53806","U42995","P008","2023-01-17","2023-01-19","2023-01-23","","10","","","","","","","","","","O53806","U42995","Complete","F","2023-01-17","2023-01-19","2023-01-23",""
"DC005","New Orleans LA","29.95","-90.0667","P008","48.86699984","Accessories","Nike Benassi","40","6512B","DC005","OI125991","O86909","U69564","P008","2021-10-08","2021-10-09","2021-10-10","","10","","","","","","","","","","O86909","U69564","Complete","F","2021-10-08","2021-10-09","2021-10-10",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI51669","O35485","U28269","P004","2022-08-02","2022-08-03","","","11","","","","","","","","","","O35485","U28269","Shipped","F","2022-08-02","2022-08-03","",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI160056","O110311","U88288","P004","2023-02-28","2023-03-01","","","11","","","","","","","","","","O110311","U88288","Shipped","F","2023-02-28","2023-03-01","",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI21722","O14942","U12002","P004","2022-10-03","2022-10-02","2022-10-04","","11","","","","","","","","","","O14942","U12002","Complete","F","2022-10-03","2022-10-02","2022-10-04",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI163832","O112889","U90310","P004","2022-09-11","2022-09-09","2022-09-11","","11","","","","","","","","","","O112889","U90310","Complete","F","2022-09-11","2022-09-09","2022-09-11",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI78225","O53852","U43036","P004","2022-04-01","2022-04-01","2022-04-04","2022-04-06","11","","","","","","","","","","O53852","U43036","Returned","F","2022-04-01","2022-04-01","2022-04-04","2022-04-04"
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI81613","O56214","U44998","P004","2020-09-27","2020-09-27","2020-10-01","2020-10-03","11","","","","","","","","","","O56214","U44998","Returned","F","2020-09-27","2020-09-27","2020-10-01","2020-10-01"
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI107983","O74485","U59623","P004","2023-03-20","2023-03-21","2023-03-24","2023-03-26","11","","","","","","","","","","O74485","U59623","Returned","F","2023-03-20","2023-03-21","2023-03-24","2023-03-24"
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI130350","O89946","U71990","P004","2022-02-27","","","","11","","","","","","","","","","O89946","U71990","Cancelled","F","2022-02-27","","",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI172524","O118801","U95032","P004","2022-12-01","","","","11","","","","","","","","","","O118801","U95032","Cancelled","F","2022-12-01","","",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI48263","O33203","U26424","P004","2023-04-07","","","","11","","","","","","","","","","O33203","U26424","Processing","F","2023-04-07","","",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI86832","O59885","U47967","P004","2023-03-20","","","","11","","","","","","","","","","O59885","U47967","Processing","F","2023-03-20","","",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI130763","O90219","U72209","P004","2021-12-31","","","","11","","","","","","","","","","O90219","U72209","Processing","F","2021-12-31","","",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI173149","O119251","U95389","P004","2023-06-19","","","","11","","","","","","","","","","O119251","U95389","Processing","F","2023-06-19","","",""
"DC003","Houston TX","29.7604","-95.3698","P005","16.62649992","Apparel","Nike Legend Tee","30","C81E7","DC003","OI133845","O92343","U73952","P005","2021-07-14","2021-07-14","","","12","","","","","","","","","","O92343","U73952","Shipped","F","2021-07-14","2021-07-14","",""
"DC003","Houston TX","29.7604","-95.3698","P005","16.62649992","Apparel","Nike Legend Tee","30","C81E7","DC003","OI166871","O114957","U91949","P005","2021-07-06","2021-07-08","2021-07-09","","12","","","","","","","","","","O114957","U91949","Complete","F","2021-07-06","2021-07-08","2021-07-09",""
"DC003","Houston TX","29.7604","-95.3698","P005","16.62649992","Apparel","Nike Legend Tee","30","C81E7","DC003","OI87593","O60410","U48403","P005","2021-09-03","","","","12","","","","","","","","","","O60410","U48403","Cancelled","F","2021-09-03","","",""
"DC003","Houston TX","29.7604","-95.3698","P005","16.62649992","Apparel","Nike Legend Tee","30","C81E7","DC003","OI77129","O53097","U42421","P005","2023-06-05","","","","12","","","","","","","","","","O53097","U42421","Processing","F","2023-06-05","","",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI1825","O1237","U993","P004","2022-06-01","2022-06-03","2022-06-05","","12.5","","","","","","","","","","O1237","U993","Complete","F","2022-06-01","2022-06-03","2022-06-05",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI98730","O68100","U54514","P004","2022-03-29","2022-03-30","2022-04-02","","12.5","","","","","","","","","","O68100","U54514","Complete","F","2022-03-29","2022-03-30","2022-04-02",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI110529","O76236","U61022","P004","2023-01-17","2023-01-17","2023-01-22","","12.5","","","","","","","","","","O76236","U61022","Complete","F","2023-01-17","2023-01-17","2023-01-22",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI141997","O97902","U78389","P004","2022-01-12","2022-01-12","2022-01-13","2022-01-16","12.5","","","","","","","","","","O97902","U78389","Returned","F","2022-01-12","2022-01-12","2022-01-13","2022-01-13"
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI93864","O64751","U51833","P004","2023-01-29","","","","12.5","","","","","","","","","","O64751","U51833","Cancelled","F","2023-01-29","","",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI80406","O55390","U44296","P004","2022-11-07","","","","12.5","","","","","","","","","","O55390","U44296","Processing","F","2022-11-07","","",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI144957","O99924","U80000","P004","2023-03-19","","","","12.5","","","","","","","","","","O99924","U80000","Processing","F","2023-03-19","","",""
"DC004","Los Angeles CA","34.05","-118.25","P006","30.66549992","Activewear","Nike Pro Tights","35","D3D94","DC004","OI92706","O63937","U51188","P006","2023-04-03","2023-04-02","","","14","","","","","","","","","","O63937","U51188","Shipped","F","2023-04-03","2023-04-02","",""
"DC004","Los Angeles CA","34.05","-118.25","P006","30.66549992","Activewear","Nike Pro Tights","35","D3D94","DC004","OI118755","O81930","U65453","P006","2019-12-14","2019-12-14","","","14","","","","","","","","","","O81930","U65453","Shipped","F","2019-12-14","2019-12-14","",""
"DC004","Los Angeles CA","34.05","-118.25","P006","30.66549992","Activewear","Nike Pro Tights","35","D3D94","DC004","OI58814","O40430","U32199","P006","2021-06-07","2021-06-08","2021-06-13","","14","","","","","","","","","","O40430","U32199","Complete","F","2021-06-07","2021-06-08","2021-06-13",""
"DC004","Los Angeles CA","34.05","-118.25","P006","30.66549992","Activewear","Nike Pro Tights","35","D3D94","DC004","OI176868","O121864","U97516","P006","2023-05-19","2023-05-18","2023-05-22","","14","","","","","","","","","","O121864","U97516","Complete","F","2023-05-19","2023-05-18","2023-05-22",""
"DC004","Los Angeles CA","34.05","-118.25","P006","30.66549992","Activewear","Nike Pro Tights","35","D3D94","DC004","OI167534","O115407","U92322","P006","2022-05-20","2022-05-21","2022-05-23","2022-05-25","14","","","","","","","","","","O115407","U92322","Returned","F","2022-05-20","2022-05-21","2022-05-23","2022-05-23"
"DC004","Los Angeles CA","34.05","-118.25","P006","30.66549992","Activewear","Nike Pro Tights","35","D3D94","DC004","OI99854","O68838","U55118","P006","2022-01-19","","","","14","","","","","","","","","","O68838","U55118","Cancelled","F","2022-01-19","","",""
"DC004","Los Angeles CA","34.05","-118.25","P006","30.66549992","Activewear","Nike Pro Tights","35","D3D94","DC004","OI121258","O83658","U66806","P006","2021-09-01","","","","14","","","","","","","","","","O83658","U66806","Cancelled","F","2021-09-01","","",""
"DC004","Los Angeles CA","34.05","-118.25","P006","30.66549992","Activewear","Nike Pro Tights","35","D3D94","DC004","OI26507","O18224","U14518","P006","2021-03-16","","","","14","","","","","","","","","","O18224","U14518","Processing","F","2021-03-16","","",""
"DC004","Los Angeles CA","34.05","-118.25","P006","30.66549992","Activewear","Nike Pro Tights","35","D3D94","DC004","OI50847","O34941","U27818","P006","2023-05-09","","","","14","","","","","","","","","","O34941","U27818","Processing","F","2023-05-09","","",""
"DC005","New Orleans LA","29.95","-90.0667","P007","20.93499997","Accessories","Nike Sportswear","40","8F14E","DC005","OI172196","O118586","U94848","P007","2023-06-14","2023-06-15","","","14.5","","","","","","","","","","O118586","U94848","Shipped","F","2023-06-14","2023-06-15","",""
"DC005","New Orleans LA","29.95","-90.0667","P007","20.93499997","Accessories","Nike Sportswear","40","8F14E","DC005","OI112846","O77837","U62254","P007","2023-06-30","2023-06-28","2023-07-01","","14.5","","","","","","","","","","O77837","U62254","Complete","F","2023-06-30","2023-06-28","2023-07-01",""
"DC005","New Orleans LA","29.95","-90.0667","P007","20.93499997","Accessories","Nike Sportswear","40","8F14E","DC005","OI37377","O25680","U20428","P007","2022-04-29","2022-04-30","2022-05-03","2022-05-05","14.5","","","","","","","","","","O25680","U20428","Returned","F","2022-04-29","2022-04-30","2022-05-03","2022-05-03"
"DC005","New Orleans LA","29.95","-90.0667","P007","20.93499997","Accessories","Nike Sportswear","40","8F14E","DC005","OI85008","O58581","U46933","P007","2023-02-12","","","","14.5","","","","","","","","","","O58581","U46933","Cancelled","F","2023-02-12","","",""
"DC005","New Orleans LA","29.95","-90.0667","P007","20.93499997","Accessories","Nike Sportswear","40","8F14E","DC005","OI127125","O87692","U70196","P007","2023-05-17","","","","14.5","","","","","","","","","","O87692","U70196","Processing","F","2023-05-17","","",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI18677","O12850","U10256","P004","2023-03-31","2023-04-02","","","15","","","","","","","","","","O12850","U10256","Shipped","F","2023-03-31","2023-04-02","",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI23943","O16473","U13172","P004","2023-02-08","2023-02-09","","","15","","","","","","","","","","O16473","U13172","Shipped","F","2023-02-08","2023-02-09","",""
"DC005","New Orleans LA","29.95","-90.0667","P008","48.86699984","Accessories","Nike Benassi","40","6512B","DC005","OI41138","O28317","U22520","P008","2023-03-28","2023-03-30","","","15","","","","","","","","","","O28317","U22520","Shipped","F","2023-03-28","2023-03-30","",""
"DC002","Chicago IL","41.8369","-87.6847","P003","27.91799985","Sneakers","Nike Tanjun","65","45C48","DC002","OI50902","O34973","U27845","P003","2022-12-06","2022-12-08","","","15","","","","","","","","","","O34973","U27845","Shipped","F","2022-12-06","2022-12-08","",""
"DC002","Chicago IL","41.8369","-87.6847","P003","27.91799985","Sneakers","Nike Tanjun","65","45C48","DC002","OI104059","O71798","U57504","P003","2023-01-22","2023-01-22","","","15","","","","","","","","","","O71798","U57504","Shipped","F","2023-01-22","2023-01-22","",""
"DC005","New Orleans LA","29.95","-90.0667","P008","48.86699984","Accessories","Nike Benassi","40","6512B","DC005","OI128462","O88632","U70955","P008","2023-07-01","2023-06-28","","","15","","","","","","","","","","O88632","U70955","Shipped","F","2023-07-01","2023-06-28","",""
"DC002","Chicago IL","41.8369","-87.6847","P003","27.91799985","Sneakers","Nike Tanjun","65","45C48","DC002","OI128644","O88759","U71049","P003","2022-12-10","2022-12-12","","","15","","","","","","","","","","O88759","U71049","Shipped","F","2022-12-10","2022-12-12","",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI156322","O107713","U86191","P004","2022-09-13","2022-09-11","","","15","","","","","","","","","","O107713","U86191","Shipped","F","2022-09-13","2022-09-11","",""
"DC002","Chicago IL","41.8369","-87.6847","P003","27.91799985","Sneakers","Nike Tanjun","65","45C48","DC002","OI32631","O22438","U17894","P003","2021-11-19","2021-11-20","2021-11-23","","15","","","","","","","","","","O22438","U17894","Complete","F","2021-11-19","2021-11-20","2021-11-23",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI35805","O24629","U19604","P004","2022-10-30","2022-10-30","2022-11-03","","15","","","","","","","","","","O24629","U19604","Complete","F","2022-10-30","2022-10-30","2022-11-03",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI44616","O30698","U24444","P004","2022-08-18","2022-08-18","2022-08-21","","15","","","","","","","","","","O30698","U24444","Complete","F","2022-08-18","2022-08-18","2022-08-21",""
"DC005","New Orleans LA","29.95","-90.0667","P008","48.86699984","Accessories","Nike Benassi","40","6512B","DC005","OI69349","O47736","U38138","P008","2023-03-13","2023-03-15","2023-03-16","","15","","","","","","","","","","O47736","U38138","Complete","F","2023-03-13","2023-03-15","2023-03-16",""
"DC002","Chicago IL","41.8369","-87.6847","P003","27.91799985","Sneakers","Nike Tanjun","65","45C48","DC002","OI70639","O48618","U38871","P003","2023-04-04","2023-04-03","2023-04-04","","15","","","","","","","","","","O48618","U38871","Complete","F","2023-04-04","2023-04-03","2023-04-04",""
"DC002","Chicago IL","41.8369","-87.6847","P003","27.91799985","Sneakers","Nike Tanjun","65","45C48","DC002","OI70704","O48658","U38900","P003","2022-05-08","2022-05-08","2022-05-13","","15","","","","","","","","","","O48658","U38900","Complete","F","2022-05-08","2022-05-08","2022-05-13",""
"DC005","New Orleans LA","29.95","-90.0667","P008","48.86699984","Accessories","Nike Benassi","40","6512B","DC005","OI117593","O81142","U64828","P008","2019-05-14","2019-05-14","2019-05-15","","15","","","","","","","","","","O81142","U64828","Complete","F","2019-05-14","2019-05-14","2019-05-15",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI176942","O121908","U97547","P004","2021-10-06","2021-10-08","2021-10-11","","15","","","","","","","","","","O121908","U97547","Complete","F","2021-10-06","2021-10-08","2021-10-11",""
"DC002","Chicago IL","41.8369","-87.6847","P003","27.91799985","Sneakers","Nike Tanjun","65","45C48","DC002","OI21425","O14735","U11831","P003","2022-10-05","2022-10-03","2022-10-05","2022-10-08","15","","","","","","","","","","O14735","U11831","Returned","F","2022-10-05","2022-10-03","2022-10-05","2022-10-05"
"DC002","Chicago IL","41.8369","-87.6847","P003","27.91799985","Sneakers","Nike Tanjun","65","45C48","DC002","OI26623","O18303","U14576","P003","2023-06-26","2023-06-24","2023-06-25","2023-06-27","15","","","","","","","","","","O18303","U14576","Returned","F","2023-06-26","2023-06-24","2023-06-25","2023-06-25"
"DC005","New Orleans LA","29.95","-90.0667","P008","48.86699984","Accessories","Nike Benassi","40","6512B","DC005","OI61117","O42031","U33511","P008","2021-06-15","2021-06-17","2021-06-21","2021-06-23","15","","","","","","","","","","O42031","U33511","Returned","F","2021-06-15","2021-06-17","2021-06-21","2021-06-21"
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI143118","O98655","U78987","P004","2022-10-23","2022-10-23","2022-10-26","2022-10-28","15","","","","","","","","","","O98655","U78987","Returned","F","2022-10-23","2022-10-23","2022-10-26","2022-10-26"
"DC002","Chicago IL","41.8369","-87.6847","P003","27.91799985","Sneakers","Nike Tanjun","65","45C48","DC002","OI156732","O108006","U86420","P003","2022-05-28","2022-05-31","2022-06-04","2022-06-06","15","","","","","","","","","","O108006","U86420","Returned","F","2022-05-28","2022-05-31","2022-06-04","2022-06-04"
"DC005","New Orleans LA","29.95","-90.0667","P008","48.86699984","Accessories","Nike Benassi","40","6512B","DC005","OI37580","O25832","U20544","P008","2022-10-04","","","","15","","","","","","","","","","O25832","U20544","Cancelled","F","2022-10-04","","",""
